850502_reviewed	cellular response to iron ion starvation
853896_reviewed	cytoplasmic translational initiation
853463_reviewed	formation of translation preinitiation complex
856876_reviewed	protein transport
850505_reviewed	autophagosome assembly
856753_reviewed	autophagy
853884_reviewed	endocytosis
856859_reviewed	COPI coating of Golgi vesicle
853072_reviewed	cellular response to amino acid stimulus
850373_reviewed	phosphate ion transport
852614_reviewed	positive regulation of transcription by RNA polymerase II
854540_reviewed	positive regulation of transcription by RNA polymerase II
856106_reviewed	double-strand break repair
856654_reviewed	chromatin organization
850638_reviewed	nucleosome assembly
855710_reviewed	epigenetic regulation of gene expression
856309_reviewed	chromosome segregation
851889_reviewed	chromatin remodeling
850327_reviewed	L-histidine biosynthetic process
851394_reviewed	cellular response to glucose starvation
852575_reviewed	mismatch repair
854284_reviewed	positive regulation of RNA polymerase II transcription preinitiation complex assembly
854086_reviewed	cellular response to starvation
852404_reviewed	ascospore formation
851916_reviewed	attachment of spindle microtubules to kinetochore
852296_reviewed	phosphate-containing compound metabolic process
851086_reviewed	establishment of cell polarity
856039_reviewed	division septum assembly
850567_reviewed	chromatin remodeling
852744_reviewed	cellular response to pheromone
854143_reviewed	heterochromatin formation
854480_reviewed	cellular response to pheromone
853997_reviewed	mRNA processing
854681_reviewed	2-oxoglutarate metabolic process
851726_reviewed	2-oxoglutarate metabolic process
850527_reviewed	2-oxoglutarate metabolic process
856758_reviewed	protein quality control for misfolded or incompletely synthesized proteins
856575_reviewed	protein transport
855143_reviewed	cytoplasmic translation
856864_reviewed	endonucleolytic cleavage in 5'-ETS of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
851388_reviewed	cellular response to oxidative stress
853934_reviewed	maturation of SSU-rRNA
854353_reviewed	actin cortical patch localization
855640_reviewed	actin filament organization
855478_reviewed	actin cortical patch assembly
850580_reviewed	actin cortical patch localization
851634_reviewed	ceramide biosynthetic process
855342_reviewed	ceramide biosynthetic process
852875_reviewed	L-leucine biosynthetic process
853318_reviewed	deadenylation-dependent decapping of nuclear-transcribed mRNA
851607_reviewed	lysyl-tRNA aminoacylation
856848_reviewed	cellular response to glucose starvation
851209_reviewed	cell division
856563_reviewed	cytogamy
851005_reviewed	mRNA 5'-splice site recognition
856163_reviewed	regulation of protein localization
856657_reviewed	macroautophagy
852439_reviewed	maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
850860_reviewed	protein processing involved in protein targeting to mitochondrion
856419_reviewed	protein processing involved in protein targeting to mitochondrion
851503_reviewed	G1/S transition of mitotic cell cycle
850879_reviewed	cellular response to heat
851561_reviewed	apoptotic process
850540_reviewed	cell division
853371_reviewed	cell division
852673_reviewed	DNA replication
850980_reviewed	DNA replication
851223_reviewed	establishment of mitochondrion localization
851559_reviewed	negative regulation of transcription by RNA polymerase II
854106_reviewed	cellular response to heat
856183_reviewed	negative regulation of transcription by RNA polymerase II
852492_reviewed	negative regulation of transcription by RNA polymerase II
856297_reviewed	negative regulation of transcription by RNA polymerase II
852860_reviewed	cellular response to heat
856065_reviewed	meiotic cell cycle
856455_reviewed	positive regulation of transcription by RNA polymerase II
850442_reviewed	negative regulation of transcription by RNA polymerase II
852053_reviewed	negative regulation of transcription by RNA polymerase II
855203_reviewed	meiotic heteroduplex formation
855642_reviewed	meiotic mismatch repair
856384_reviewed	mitochondrial translation
851948_reviewed	mitochondrial translation
852975_reviewed	mitochondrial translation
852188_reviewed	mitochondrial translation
851937_reviewed	mitochondrial translation
852553_reviewed	mitochondrial translation
852443_reviewed	mitochondrial translation
855585_reviewed	mitochondrial translation
854329_reviewed	mitochondrial translation
851611_reviewed	mitochondrial translation
853701_reviewed	mitochondrial small ribosomal subunit assembly
852748_reviewed	mitochondrial translation
854715_reviewed	mitochondrial translation
853565_reviewed	mitochondrial translation
853578_reviewed	mitochondrial translation
855190_reviewed	mitochondrial translation
855226_reviewed	mitochondrial translation
855410_reviewed	mitochondrial translation
855436_reviewed	mitochondrial translation
852419_reviewed	mitochondrial translation
852242_reviewed	mitochondrial translation
854983_reviewed	mitochondrial translation
853135_reviewed	mitochondrial translation
855231_reviewed	mitochondrial translation
852967_reviewed	mitochondrial translation
852816_reviewed	maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
855985_reviewed	mitochondrial translation
851755_reviewed	mitochondrial translation
853053_reviewed	mitochondrial RNA processing
854380_reviewed	maturation of SSU-rRNA
854063_reviewed	DNA recombination
851671_reviewed	interstrand cross-link repair
853609_reviewed	DNA repair
851266_reviewed	DNA repair
855228_reviewed	chromosome organization
851399_reviewed	DNA damage response
852348_reviewed	meiotic cell cycle
852847_reviewed	meiotic cell cycle
851204_reviewed	actin filament organization
853728_reviewed	intracellular mRNA localization
852427_reviewed	endoplasmic reticulum inheritance
852119_reviewed	budding cell bud growth
852610_reviewed	mRNA transport
850334_reviewed	budding cell bud growth
853503_reviewed	intracellular protein transport
855646_reviewed	axial cellular bud site selection
854084_reviewed	axial cellular bud site selection
851988_reviewed	mRNA export from nucleus
851562_reviewed	chromatin remodeling
854309_reviewed	chromatin remodeling
852728_reviewed	cellular response to stress
850534_reviewed	chromatin remodeling
850577_reviewed	1-phosphatidyl-1D-myo-inositol 3,5-bisphosphate metabolic process
850549_reviewed	assembly of large subunit precursor of preribosome
853409_reviewed	NLS-bearing protein import into nucleus
850552_reviewed	nuclear pore organization
854691_reviewed	NLS-bearing protein import into nucleus
855066_reviewed	mRNA export from nucleus
851263_reviewed	chromosome organization
854937_reviewed	DNA replication initiation
852352_reviewed	DNA replication initiation
850656_reviewed	DNA replication initiation
856291_reviewed	DNA replication initiation
855460_reviewed	DNA replication initiation
856518_reviewed	DNA replication initiation
853455_reviewed	dolichol-linked oligosaccharide biosynthetic process
854989_reviewed	protein N-linked glycosylation
852862_reviewed	post-translational protein modification
856716_reviewed	protein N-linked glycosylation
852969_reviewed	microtubule-based process
854879_reviewed	positive regulation of transcription elongation by RNA polymerase II
852786_reviewed	DNA damage tolerance
853843_reviewed	DNA damage tolerance
856222_reviewed	mRNA processing
852522_reviewed	pyruvate decarboxylation to acetyl-CoA
855653_reviewed	pyruvate decarboxylation to acetyl-CoA
850840_reviewed	endosome organization
855271_reviewed	endosome organization
856062_reviewed	endosomal transport
851112_reviewed	endocytosis
851653_reviewed	cellular response to starvation
851261_reviewed	endosomal vesicle fusion
855245_reviewed	canonical glycolysis
853155_reviewed	canonical glycolysis
852245_reviewed	DNA biosynthetic process
855621_reviewed	DNA replication
854825_reviewed	DNA replication
853821_reviewed	DNA replication
851647_reviewed	double-strand break repair via homologous recombination
852234_reviewed	meiotic recombination checkpoint signaling
855520_reviewed	DNA damage response
855224_reviewed	box C/D snoRNP assembly
855836_reviewed	'de novo' protein folding
850611_reviewed	proteasomal ubiquitin-independent protein catabolic process
856830_reviewed	proteasomal ubiquitin-independent protein catabolic process
854501_reviewed	L-proline biosynthetic process
850441_reviewed	autophagy of mitochondrion
852983_reviewed	mRNA splicing, via spliceosome
854485_reviewed	maturation of 5S rRNA
855497_reviewed	maturation of SSU-rRNA
853010_reviewed	attachment of spindle microtubules to kinetochore
854042_reviewed	phospholipid biosynthetic process
856087_reviewed	G2/M transition of mitotic cell cycle
854351_reviewed	mRNA processing
852224_reviewed	negative regulation of p38MAPK cascade
851643_reviewed	chromatin organization
852422_reviewed	signal transduction
855716_reviewed	cellular response to glucose starvation
854817_reviewed	mRNA metabolic process
854245_reviewed	endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
853762_reviewed	endonucleolytic cleavage in 5'-ETS of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
855790_reviewed	endonucleolytic cleavage in 5'-ETS of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
856674_reviewed	ERAD pathway
856909_reviewed	DNA topological change
856918_reviewed	nucleotide-excision repair
854678_reviewed	DNA repair
851342_reviewed	ATP metabolic process
856831_reviewed	chromosome organization involved in meiotic cell cycle
854976_reviewed	DNA amplification
852646_reviewed	cleavage in ITS2 between 5.8S rRNA and LSU-rRNA of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
854213_reviewed	cleavage in ITS2 between 5.8S rRNA and LSU-rRNA of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
851468_reviewed	protein maturation
853849_reviewed	peptide pheromone maturation
852740_reviewed	endoplasmic reticulum to Golgi vesicle-mediated transport
854818_reviewed	DNA replication, Okazaki fragment processing
855404_reviewed	DNA repair
853531_reviewed	DNA damage checkpoint signaling
854392_reviewed	cell division
852563_reviewed	actin cytoskeleton organization
855170_reviewed	ascospore formation
852184_reviewed	negative regulation of transcription by RNA polymerase II
851442_reviewed	nucleocytoplasmic transport
855386_reviewed	cellular response to heat
851220_reviewed	cellular response to heat
855626_reviewed	cellular response to heat
855305_reviewed	cellular response to heat
854725_reviewed	cell adhesion involved in single-species biofilm formation
855964_reviewed	cellular response to heat
852392_reviewed	conjugation with cellular fusion
855097_reviewed	negative regulation of antisense RNA transcription
855920_reviewed	negative regulation of rDNA heterochromatin formation
853147_reviewed	proteasome regulatory particle assembly
854433_reviewed	ERAD pathway
851140_reviewed	proteasome-mediated ubiquitin-dependent protein catabolic process
853805_reviewed	canonical glycolysis
851568_reviewed	negative regulation of transcription by RNA polymerase III
851310_reviewed	adaptation of signaling pathway by response to pheromone involved in conjugation with cellular fusion
851759_reviewed	adaptation of signaling pathway by response to pheromone involved in conjugation with cellular fusion
854739_reviewed	adaptation of signaling pathway by response to pheromone involved in conjugation with cellular fusion
855040_reviewed	adaptation of signaling pathway by response to pheromone involved in conjugation with cellular fusion
854032_reviewed	adaptation of signaling pathway by response to pheromone involved in conjugation with cellular fusion
851114_reviewed	defense response to virus
856319_reviewed	defense response to virus
854179_reviewed	cellular bud neck septin ring organization
852095_reviewed	actin filament-based process
851591_reviewed	ascospore wall assembly
853890_reviewed	budding cell apical bud growth
853365_reviewed	chemotropism
856856_reviewed	endoplasmic reticulum inheritance
856366_reviewed	cellular response to phosphate starvation
851286_reviewed	endocytosis
851543_reviewed	endocytosis
850905_reviewed	COPII-coated vesicle budding
853808_reviewed	double-strand break repair
852788_reviewed	double-strand break repair
851441_reviewed	double-strand break repair
853499_reviewed	mRNA export from nucleus
851332_reviewed	COPII-coated vesicle budding
852778_reviewed	cellular response to amino acid starvation
856311_reviewed	COPII-coated vesicle cargo loading
856011_reviewed	post-translational protein targeting to membrane, translocation
854428_reviewed	cytosol to endoplasmic reticulum transport
852469_reviewed	filamentous growth
850999_reviewed	post-translational protein targeting to membrane, translocation
856814_reviewed	L-serine biosynthetic process
854736_reviewed	L-serine biosynthetic process
852681_reviewed	cellular response to starvation
853900_reviewed	cellular response to starvation
856799_reviewed	deadenylation-independent decapping of nuclear-transcribed mRNA
851520_reviewed	chromatin organization
853369_reviewed	cell division
851813_reviewed	double-strand break repair via nonhomologous end joining
853106_reviewed	apoptotic process
854664_reviewed	protein folding
852678_reviewed	cell redox homeostasis
852276_reviewed	actin cortical patch assembly
853229_reviewed	cell wall organization
855618_reviewed	endocytosis
856301_reviewed	actin cortical patch localization
856409_reviewed	actin cortical patch localization
851661_reviewed	generation of catalytic spliceosome for second transesterification step
852889_reviewed	generation of catalytic spliceosome for second transesterification step
851770_reviewed	endoplasmic reticulum to Golgi vesicle-mediated transport
852230_reviewed	autophagy
853638_reviewed	amphisome-lysosome fusion
852088_reviewed	cellular response to glucose starvation
856749_reviewed	cell adhesion
856866_reviewed	cellular response to glucose starvation
851592_reviewed	cellular response to glucose starvation
852032_reviewed	regulation of cellular response to glucose starvation
852664_reviewed	cellular response to glucose starvation
852763_reviewed	autophagy
852592_reviewed	carbon catabolite activation of transcription
855757_reviewed	cellular response to amino acid starvation
856360_reviewed	chromatin remodeling
856091_reviewed	cellular response to amino acid starvation
853264_reviewed	chromatin remodeling
850495_reviewed	chromatin remodeling
856182_reviewed	pantothenate biosynthetic process
850838_reviewed	pantothenate biosynthetic process
851224_reviewed	lipid metabolic process
856393_reviewed	lipid droplet formation
852449_reviewed	generation of catalytic spliceosome for first transesterification step
852966_reviewed	mRNA splicing, via spliceosome
851460_reviewed	mRNA splicing, via spliceosome
856891_reviewed	DNA-templated transcription initiation
853191_reviewed	positive regulation of transcription by RNA polymerase II
852766_reviewed	chromatin organization
852497_reviewed	chromatin organization
853011_reviewed	cellular response to stress
856251_reviewed	nucleosome assembly
852373_reviewed	chromatin organization
852059_reviewed	chromatin organization
853167_reviewed	chromatin organization
855821_reviewed	chromatin organization
851756_reviewed	chromatin organization
854017_reviewed	chromatin organization
850744_reviewed	chromatin organization
855276_reviewed	chromatin organization
855263_reviewed	protein deubiquitination
850347_reviewed	intracellular protein localization
852814_reviewed	chromatin organization
856203_reviewed	SRP-dependent cotranslational protein targeting to membrane
854866_reviewed	SRP-dependent cotranslational protein targeting to membrane
853737_reviewed	SRP-dependent cotranslational protein targeting to membrane
855584_reviewed	actin filament depolymerization
851259_reviewed	cellular response to heat
850691_reviewed	nucleotide-excision repair
851906_reviewed	DNA repair
855706_reviewed	cellular response to heat
850923_reviewed	DNA-templated transcription
856290_reviewed	DNA-templated transcription
853666_reviewed	poly(A)+ mRNA export from nucleus
855017_reviewed	positive regulation of transcription by RNA polymerase II
854993_reviewed	positive regulation of transcription by RNA polymerase II
856096_reviewed	positive regulation of transcription by RNA polymerase II
851723_reviewed	chromatin organization
854875_reviewed	positive regulation of transcription by RNA polymerase II
851745_reviewed	chromatin organization
855267_reviewed	positive regulation of transcription by RNA polymerase II
852361_reviewed	amino acid transmembrane transport
853540_reviewed	mitochondrial phosphate ion transmembrane transport
853781_reviewed	translational elongation
851260_reviewed	maintenance of translational fidelity
853840_reviewed	transcription by RNA polymerase II
856169_reviewed	nucleotide-excision repair
851262_reviewed	5S class rRNA transcription by RNA polymerase III
851964_reviewed	5S class rRNA transcription by RNA polymerase III
856100_reviewed	5S class rRNA transcription by RNA polymerase III
856351_reviewed	negative regulation of translation
850320_reviewed	negative regulation of DNA-templated transcription
851195_reviewed	cytoplasmic translation
852414_reviewed	pentose-phosphate shunt
856188_reviewed	pentose-phosphate shunt
855951_reviewed	mitotic spindle organization
855898_reviewed	adenylate cyclase-activating G protein-coupled receptor signaling pathway
854778_reviewed	adenylate cyclase-activating G protein-coupled receptor signaling pathway
853688_reviewed	adenylate cyclase-activating G protein-coupled receptor signaling pathway
852423_reviewed	carbohydrate metabolic process
851646_reviewed	cellular response to nitrogen starvation
855303_reviewed	trehalose biosynthetic process
854872_reviewed	trehalose biosynthetic process
856824_reviewed	glutamine metabolic process
853669_reviewed	glutamine metabolic process
850409_reviewed	positive regulation of transcription by RNA polymerase II
854926_reviewed	positive regulation of transcription by RNA polymerase II
850909_reviewed	cytoplasmic microtubule organization
856577_reviewed	cytoplasmic microtubule organization
855597_reviewed	cytoplasmic microtubule organization
856179_reviewed	protein neddylation
856104_reviewed	protein neddylation
855350_reviewed	free ubiquitin chain depolymerization
851156_reviewed	cell wall organization
852241_reviewed	'de novo' CTP biosynthetic process
852424_reviewed	ATP metabolic process
853490_reviewed	early endosome to late endosome transport
853782_reviewed	endosomal lumen acidification
856659_reviewed	endosomal lumen acidification
856148_reviewed	endosomal lumen acidification
854509_reviewed	endosomal lumen acidification
855739_reviewed	ATP export
856387_reviewed	ATP export
856403_reviewed	endocytic recycling
853287_reviewed	endocytic recycling
856303_reviewed	autophagosome maturation
856021_reviewed	ATP export
850712_reviewed	ATP export
851482_reviewed	autophagy
852785_reviewed	cytoplasm to vacuole targeting by the Cvt pathway
852079_reviewed	endocytosis
854142_reviewed	cytoplasm to vacuole targeting by the Cvt pathway
853423_reviewed	Golgi to vacuole transport
851051_reviewed	actin cortical patch localization
855180_reviewed	protein N-linked glycosylation
851206_reviewed	double-strand break repair via single-strand annealing, removal of nonhomologous ends
856085_reviewed	DNA amplification
854878_reviewed	DNA amplification
851199_reviewed	chromatin remodeling
851265_reviewed	regulation of DNA-templated transcription
850702_reviewed	subtelomeric heterochromatin formation
856519_reviewed	ascospore formation
852472_reviewed	regulation of meiotic DNA double-strand break formation
852080_reviewed	subtelomeric heterochromatin formation
855965_reviewed	positive regulation of DNA-templated transcription
852248_reviewed	3'-UTR-mediated mRNA stabilization
852229_reviewed	DNA damage checkpoint signaling
852517_reviewed	cellular response to oxidative stress
855862_reviewed	maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
855514_reviewed	maturation of SSU-rRNA
854317_reviewed	endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
851483_reviewed	negative regulation of transcription by RNA polymerase I
851788_reviewed	cellular response to nitrogen starvation
850918_reviewed	ribosomal large subunit assembly
856725_reviewed	formation of translation preinitiation complex
853471_reviewed	formation of translation preinitiation complex
852704_reviewed	endonucleolytic cleavage in 5'-ETS of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
851170_reviewed	epigenetic regulation of gene expression
855328_reviewed	chromatin organization
855132_reviewed	chromatin organization
850647_reviewed	aerobic respiration
854915_reviewed	homologous chromosome segregation
853149_reviewed	cellular response to misfolded protein
856521_reviewed	RNA metabolic process
850625_reviewed	ribosomal large subunit biogenesis
855596_reviewed	cellular response to pheromone
855073_reviewed	cellular response to pheromone
855897_reviewed	DNA repair
853202_reviewed	'de novo' cotranslational protein folding
856461_reviewed	'de novo' cotranslational protein folding
856498_reviewed	COPII-coated vesicle cargo loading
850686_reviewed	heme transport
855704_reviewed	cellular hyperosmotic salinity response
851158_reviewed	L-arginine catabolic process to L-glutamate
851781_reviewed	cellular response to pheromone
855044_reviewed	cellular response to pheromone
850559_reviewed	cellular response to pheromone
852662_reviewed	autophagy
854256_reviewed	endocytosis
855012_reviewed	cytoplasm to vacuole targeting by the Cvt pathway
850543_reviewed	ascospore-type prospore assembly
852567_reviewed	endocytosis
850569_reviewed	glycogen biosynthetic process
855359_reviewed	chromosome segregation
854901_reviewed	meiotic recombination checkpoint signaling
851708_reviewed	deactivation of mitotic spindle assembly checkpoint
854450_reviewed	filamentous growth
855013_reviewed	cell division
851250_reviewed	astral microtubule anchoring at mitotic spindle pole body
854786_reviewed	cell division
851815_reviewed	vacuole fusion, non-autophagic
855043_reviewed	negative regulation of signal transduction
855923_reviewed	chromosome segregation
853275_reviewed	adenylate cyclase-activating G protein-coupled receptor signaling pathway
851142_reviewed	autophagosome assembly
853300_reviewed	cAMP/PKA signal transduction
855630_reviewed	lipid metabolic process
850450_reviewed	actin cortical patch assembly
851335_reviewed	endoplasmic reticulum to Golgi vesicle-mediated transport
851418_reviewed	intracellular protein transport
853670_reviewed	DNA damage response
854356_reviewed	L-serine biosynthetic process
853644_reviewed	calcineurin-mediated signaling
851153_reviewed	calcineurin-mediated signaling
854946_reviewed	calcineurin-mediated signaling
851000_reviewed	exonucleolytic trimming to generate mature 3'-end of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
853552_reviewed	cellular response to methylmercury
851424_reviewed	cell division
851928_reviewed	cellular response to methylmercury
856744_reviewed	L-proline biosynthetic process
854497_reviewed	mRNA splicing, via spliceosome
856537_reviewed	cell morphogenesis
854349_reviewed	ascospore-type prospore membrane formation
853568_reviewed	cellular detoxification
851996_reviewed	actin cortical patch localization
850367_reviewed	actin cortical patch localization
850318_reviewed	negative regulation of gluconeogenesis
855166_reviewed	negative regulation of gluconeogenesis
851842_reviewed	negative regulation of gluconeogenesis
854710_reviewed	negative regulation of apoptotic process
852624_reviewed	cytoskeleton organization
854795_reviewed	ascospore formation
854675_reviewed	chromatin remodeling
855175_reviewed	donor selection
855492_reviewed	intracellular protein localization
852046_reviewed	intracellular sodium ion homeostasis
852091_reviewed	cellular response to pheromone
852931_reviewed	intracellular signal transduction
851908_reviewed	negative regulation of gluconeogenesis
850620_reviewed	modification-dependent protein catabolic process
851458_reviewed	cellular response to oxidative stress
852864_reviewed	establishment of protein localization to endoplasmic reticulum membrane
856817_reviewed	establishment of protein localization to endoplasmic reticulum membrane
853353_reviewed	DNA protection
851457_reviewed	DNA damage checkpoint signaling
854881_reviewed	endonucleolytic cleavage in 5'-ETS of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
855408_reviewed	endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
853537_reviewed	mRNA transport
851565_reviewed	G1/S transition of mitotic cell cycle
850966_reviewed	cellular response to heat
851714_reviewed	cell division
850728_reviewed	intracellular protein transport
850914_reviewed	protein folding
856473_reviewed	NAD+ biosynthetic process
851391_reviewed	base-excision repair
852385_reviewed	DNA damage tolerance
856076_reviewed	cell cycle G1/S phase transition
850514_reviewed	glycine biosynthetic process, by transamination of glyoxylate
854761_reviewed	cell division
853148_reviewed	cellular response to phosphate starvation
852021_reviewed	generation of mature 5'-end of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
854404_reviewed	chromatin remodeling
854405_reviewed	chromatin remodeling
853427_reviewed	deoxyribonucleotide biosynthetic process
854053_reviewed	cell integrity MAPK cascade
856103_reviewed	eisosome assembly
852977_reviewed	eisosome assembly
851113_reviewed	protein hexamerization
856031_reviewed	microtubule severing
852518_reviewed	autophagosome assembly
856162_reviewed	autophagosome assembly
854713_reviewed	actin cortical patch assembly
855625_reviewed	ascospore formation
854268_reviewed	adenylate cyclase-activating G protein-coupled receptor signaling pathway
852583_reviewed	protein ubiquitination
855581_reviewed	adenine catabolic process
852436_reviewed	cellular response to nitrogen starvation
856649_reviewed	pexophagy
850445_reviewed	DNA damage response
852410_reviewed	chromatin remodeling
855907_reviewed	cellular response to ionizing radiation
850995_reviewed	DNA damage checkpoint signaling
856227_reviewed	division septum assembly
854700_reviewed	cell division
852372_reviewed	autophagosome assembly
850650_reviewed	cellular response to amino acid starvation
854208_reviewed	actin filament organization
855561_reviewed	budding cell apical bud growth
854765_reviewed	cysteine biosynthetic process
854552_reviewed	endoplasmic reticulum to Golgi vesicle-mediated transport
852762_reviewed	anaphase-promoting complex-dependent catabolic process
853439_reviewed	cell division
851798_reviewed	protein folding
856781_reviewed	glycogen metabolic process
854102_reviewed	proteasome-mediated ubiquitin-dependent protein catabolic process
856153_reviewed	negative regulation of TORC1 signaling
855405_reviewed	protein catabolic process
850786_reviewed	cellular response to methylmercury
853292_reviewed	protein ubiquitination
852402_reviewed	negative regulation of gluconeogenesis
852880_reviewed	proteasome regulatory particle assembly
854549_reviewed	actin filament organization
856219_reviewed	negative regulation of ribosomal protein gene transcription by RNA polymerase II
851754_reviewed	chromatin organization
853758_reviewed	cytoplasm to vacuole targeting by the Cvt pathway
854072_reviewed	autophagy
851337_reviewed	cellular response to ethanol
855319_reviewed	ERAD pathway
853178_reviewed	cellular bud site selection
856921_reviewed	actin cytoskeleton organization
853910_reviewed	chromosome organization
854972_reviewed	DNA recombination
850939_reviewed	cellular response to pheromone
856557_reviewed	meiosis I
856862_reviewed	cellular response to amino acid stimulus
853037_reviewed	negative regulation of Arp2/3 complex-mediated actin nucleation
851108_reviewed	ubiquitin-dependent endocytosis
855318_reviewed	ATP export
856236_reviewed	cell division
855620_reviewed	cysteine biosynthetic process
853408_reviewed	fungal-type cell wall organization
855624_reviewed	cellular response to oxidative stress
855699_reviewed	actin filament organization
855728_reviewed	nuclear mRNA surveillance
850346_reviewed	nuclear mRNA surveillance
855275_reviewed	nuclear export
850934_reviewed	G-quadruplex DNA formation
854650_reviewed	protein deubiquitination
855827_reviewed	endoplasmic reticulum to Golgi vesicle-mediated transport
852822_reviewed	cellular response to unfolded protein
850430_reviewed	DNA damage tolerance
853847_reviewed	maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
850539_reviewed	cell division
853438_reviewed	protein folding
853527_reviewed	protein folding
855119_reviewed	kinetochore assembly
853133_reviewed	mRNA export from nucleus
851672_reviewed	actin cytoskeleton organization
853747_reviewed	base-excision repair
850896_reviewed	proteasome assembly
853629_reviewed	proteasome assembly
853752_reviewed	DNA replication initiation
854740_reviewed	aerobic respiration
853646_reviewed	budding cell apical bud growth
856502_reviewed	budding cell apical bud growth
852411_reviewed	global genome nucleotide-excision repair
853512_reviewed	global genome nucleotide-excision repair
854938_reviewed	cell division
853798_reviewed	CTP biosynthetic process
851274_reviewed	meiotic spindle disassembly
850508_reviewed	budding cell apical bud growth
856920_reviewed	DNA damage checkpoint signaling
851119_reviewed	positive regulation of ribosomal protein gene transcription by RNA polymerase II
850950_reviewed	cellular response to oxidative stress
850803_reviewed	cellular hyperosmotic response
850785_reviewed	exocytosis
853153_reviewed	conjugation with cellular fusion
855006_reviewed	intracellular monoatomic ion homeostasis
851271_reviewed	cellular bud site selection
854869_reviewed	chromatin organization
856129_reviewed	chromatin organization
852377_reviewed	cellular response to stress
856484_reviewed	cellular response to pheromone
855968_reviewed	intracellular iron ion homeostasis
850588_reviewed	hydrogen sulfide biosynthetic process
854247_reviewed	invasive growth in response to glucose limitation
852258_reviewed	DNA damage response
856254_reviewed	DNA repair
850912_reviewed	eukaryotic translation initiation factor 2 complex assembly
851709_reviewed	protein ubiquitination
854886_reviewed	cellular response to methylmercury
854222_reviewed	kinetochore assembly
855471_reviewed	base-excision repair
855264_reviewed	ascospore formation
851975_reviewed	base-excision repair
856425_reviewed	cell integrity MAPK cascade
850884_reviewed	signal transduction
853350_reviewed	cell integrity MAPK cascade
855963_reviewed	cell integrity MAPK cascade
853631_reviewed	deadenylation-dependent decapping of nuclear-transcribed mRNA
855942_reviewed	establishment of cell polarity
856058_reviewed	cellular response to pheromone
851076_reviewed	cell integrity MAPK cascade
851396_reviewed	cell integrity MAPK cascade
856914_reviewed	G1/S transition of mitotic cell cycle
855988_reviewed	establishment of cell polarity
854402_reviewed	endoplasmic reticulum organization
854925_reviewed	cell wall mannoprotein biosynthetic process
856057_reviewed	cell wall mannoprotein biosynthetic process
851500_reviewed	DNA amplification
854747_reviewed	NLS-bearing protein import into nucleus
854702_reviewed	box H/ACA snoRNP assembly
855241_reviewed	base-excision repair
856791_reviewed	carbohydrate metabolic process
851800_reviewed	protein folding
851052_reviewed	cytoplasmic translation
856677_reviewed	CAT tailing
854693_reviewed	cell integrity MAPK cascade
855547_reviewed	eukaryotic translation initiation factor 4F complex assembly
851485_reviewed	double-strand break repair via homologous recombination
856052_reviewed	premeiotic DNA replication
856828_reviewed	establishment or maintenance of actin cytoskeleton polarity
856787_reviewed	glycogen metabolic process
856724_reviewed	microtubule cytoskeleton organization
852659_reviewed	defense response to virus
852351_reviewed	actin cortical patch assembly
853252_reviewed	cell division
852431_reviewed	cell division
856142_reviewed	fungal-type cell wall organization
855957_reviewed	maturation of 5.8S rRNA
854731_reviewed	nuclear mRNA surveillance of mRNA 3'-end processing
851884_reviewed	mRNA 3'-end processing
851048_reviewed	mRNA export from nucleus in response to heat stress
854265_reviewed	NLS-bearing protein import into nucleus
853116_reviewed	CDP-choline pathway
854535_reviewed	budding cell apical bud growth
851768_reviewed	protein folding
854315_reviewed	DNA replication
856908_reviewed	chromatin organization
856231_reviewed	actin cytoskeleton organization
854036_reviewed	cellular response to starvation
851558_reviewed	fungal-type cell wall organization or biogenesis
